species	accession
Ancient_modern	EU725621.2
Ancient_modern	EU810403.1
Ancient_modern	KC417443.1
Ancient_modern	KC521454
Ancient_modern	KC521455
Ancient_modern	KC521456
Ancient_modern	KC521457
Ancient_modern	KC521458
Ancient_modern	KC521459
Bos grunniens	NC_006380.3
Bos grunniens	OP380872.1
Bos grunniens	OP380873.1
Bos grunniens	OP380874.1
Bos grunniens	OP380875.1
Bos grunniens	OP380876.1
Bos grunniens	OP598192.1
Bos grunniens	OR085996.1
Bos grunniens	OR085997.1
Bos grunniens	OR085998.1
Bos grunniens	OR085999.1
Bos grunniens	OR086000.1
Bos grunniens	OR086001.1
Bos grunniens	OR086002.1
Bos grunniens	OR086003.1
Bos grunniens	OR086004.1
Bos grunniens	OR086005.1
Bos grunniens	OR086006.1
Bos grunniens	OR777291.1
Bos grunniens	PP744587.1
Bos taurus	NC_006853.1
Bos taurus	OQ160851.1
Bos taurus	OQ160853.1
Bos taurus	OQ924181.1
Bos taurus	OQ924182.2
Bos taurus	OQ924184.1
Bos taurus	OQ924185.1
Bos taurus	OQ924186.1
Bos taurus	OQ924187.1
Bos taurus	OQ924188.2
Bos taurus	OQ924192.1
Bos taurus	OR777283.1
Bos taurus	OR777284.1
Bos taurus	OR777285.1
Bos taurus	OR777286.1
Bos taurus	OR777287.1
Bos taurus	OR777288.1
Bos taurus	PP155642.1
Bos taurus	PP780079.1
Bos taurus	PQ152950.1
Canis lupus baileyi	MZ042317.1
Canis lupus baileyi	MZ042318.1
Canis lupus baileyi	MZ042319.1
Canis lupus baileyi	MZ042320.1
Canis lupus baileyi	MZ042321.1
Canis lupus baileyi	MZ042322.1
Canis lupus baileyi	MZ042323.1
Canis lupus familiaris	NC_002008.4
Canis lupus familiaris	OP828680.1
Canis lupus familiaris	OR260549.2
Canis lupus familiaris	OR260550.2
Canis lupus familiaris	OR260553.2
Canis lupus familiaris	OR260554.2
Canis lupus familiaris	OR260555.2
Canis lupus familiaris	OR260561.2
Canis lupus familiaris	OR260566.2
Canis lupus familiaris	PP187749.1
Canis lupus familiaris	PP187750.1
Canis lupus familiaris	PP187754.1
Canis lupus familiaris	PP187766.1
Canis lupus familiaris	PP187774.1
Canis lupus familiaris	PP187775.1
Canis lupus familiaris	PP187778.1
Canis lupus familiaris	PP187779.1
Canis lupus familiaris	PP187780.1
Canis lupus familiaris	PP187784.1
Canis lupus familiaris	PP454692.1
Canis lupus laniger	FJ032363.2
Canis lupus laniger	KF573616.1
Canis lupus lycaon	MZ367897.1
Canis lupus lycaon	MZ367914.1
Denisova	FN673705.1
Denisova	FR695060.1
Denisova	KT780370.1
Denisova	KX663333
Denisova	MT576650.1
Denisova	MT576651
Denisova	MT576652
Denisova	MT576653
Equus caballus	OM869116.2
Equus caballus	OM869117.2
Equus caballus	OM869118.2
Equus caballus	OM869119.2
Equus caballus	OM869120.2
Equus caballus	OM869123.2
Equus caballus	OM869124.2
Equus caballus	OM869125.2
Equus caballus	OM869126.2
Equus caballus	OM869127.2
Equus caballus	OM869129.2
Equus caballus	OM869130.2
Equus caballus	OM869131.2
Equus caballus	OM869132.2
Equus caballus	OM869133.2
Equus caballus	OM869134.2
Equus caballus	OM869135.2
Equus caballus	PQ573014.1
Equus caballus	PQ573015.1
Equus caballus	PQ663616.1
Heidelbergensis	KF683087.1
Modern	D38113.1
Neanderthal	AM948965
Neanderthal	FM865407.1
Neanderthal	FM865408.1
Neanderthal	FM865409.1
Neanderthal	FM865410.1
Neanderthal	FM865411.1
Neanderthal	KC879692.1
Neanderthal	KF982693
Neanderthal	KJ533544.1
Neanderthal	KJ533545
Neanderthal	KU131206
Neanderthal	KX198082.1
Neanderthal	KX198083
Neanderthal	KX198084.1
Neanderthal	KX198085
Neanderthal	KX198086
Neanderthal	KX198087
Neanderthal	KX198088
Neanderthal	KY751400.2
Neanderthal	MG025536
Neanderthal	MG025537.1
Neanderthal	MG025538
Neanderthal	MG025539
Neanderthal	MK033602
Neanderthal	MK123269
Neanderthal	MK388903.1
Neanderthal	MT795654.1
Neanderthal	OM062614.1
Ovis aries	NC_001941.1
Ovis aries	PQ247990.1
Ovis aries	PQ247991.1
Ovis aries	PQ247992.1
Ovis aries	PQ247993.1
Ovis aries	PQ247994.1
Ovis aries	PQ247995.1
Ovis aries	PQ247996.1
Ovis aries	PQ247997.1
Ovis aries	PQ247998.1
Ovis aries	PQ247999.1
Ovis aries	PQ248000.1
Ovis aries	PQ248001.1
Ovis aries	PQ248002.1
Ovis aries	PQ248003.1
Ovis aries	PQ248006.1
Ovis aries	PQ248007.1
Ovis aries	PQ248008.1
Ovis aries	PQ248009.1
Ovis aries	PQ248020.1
Sus scrofa cristatus	MG725630.1
Sus scrofa cristatus	MG725631.1
Sus scrofa cristatus	MG725632.1
Sus scrofa cristatus	NC_039090.1
Sus scrofa cristatus	OM162160.1
Sus scrofa domesticus	KJ789952.1
Sus scrofa domesticus	KT965278.1
Sus scrofa domesticus	MN025258.1
Sus scrofa domesticus	MW534270.1
Sus scrofa domesticus	MZ647672.1
Sus scrofa domesticus	MZ703184.1
Sus scrofa domesticus	MZ703185.1
Sus scrofa domesticus	MZ846190.1
Sus scrofa domesticus	NC_012095.1
Sus scrofa domesticus	OM069301.1
Sus scrofa domesticus	OM236539.1
Sus scrofa domesticus	OM363676.1
Sus scrofa domesticus	OM386979.1
Sus scrofa domesticus	OM453834.1
Sus scrofa domesticus	OM468891.1
Sus scrofa domesticus	OM617468.1
Sus scrofa domesticus	OM634652.1
Sus scrofa domesticus	ON706057.1
Sus scrofa domesticus	ON715893.1
Sus scrofa domesticus	ON804887.1
Sus scrofa scrofa	CP071572.1
Sus scrofa scrofa	KF660222.1
Sus scrofa scrofa	KP301137.1
