taxid	species	accession
9606	Homo sapiens	KR074233.1
9606	Homo sapiens	KY411439.1
9606	Homo sapiens	NC_012920.1
9612	Canis lupus familiaris	AB499817.1
9612	Canis lupus familiaris	EU789647.1
9612	Canis lupus familiaris	EU789654.1
9612	Canis lupus familiaris	EU789662.1
9612	Canis lupus familiaris	KM061542.1
9612	Canis lupus familiaris	KU290737.1
9796	Equus caballus	JN398377
9796	Equus caballus	JN398386
9796	Equus caballus	JN398392
9796	Equus caballus	JN398398
9796	Equus caballus	JN398401
9796	Equus caballus	JN398402
9796	Equus caballus	JN398404
9796	Equus caballus	JN398413
9796	Equus caballus	JN398414
9796	Equus caballus	JN398418
9796	Equus caballus	JN398420
9796	Equus caballus	JN398422
9796	Equus caballus	JN398435
9796	Equus caballus	JN398440
9796	Equus caballus	JN398445
9796	Equus caballus	JN398446
9796	Equus caballus	JN398449
9796	Equus caballus	JN398456
9823	Sus scrofa domesticus	ERR977085
9823	Sus scrofa domesticus	ERR977167
9823	Sus scrofa domesticus	ERR977204
9823	Sus scrofa domesticus	ERR977206
9823	Sus scrofa domesticus	ERR977376
9823	Sus scrofa domesticus	KC505411
9913	Bos taurus	AF492350.1
9913	Bos taurus	AY684273.1
9913	Bos taurus	JQ692071.1
9913	Bos taurus	KT184453.1
9913	Bos taurus	LC537317.1
9913	Bos taurus	NC_012706.1
9913	Bos taurus	V00654.1
9940	Ovis aries	HM236180
9940	Ovis aries	KF938320
9940	Ovis aries	KF938333
9940	Ovis aries	KF938334
9940	Ovis aries	KF938335
9940	Ovis aries	KF938346
